Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,39085
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,20451
3,नेपाली काँग्रेस,रुख,17681
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,3977
5,राष्ट्रिय जनमोर्चा,गिलास,2338
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,725
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,572
8,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,246
9,नेपाल जनता संरक्षण पार्टी,डोको,171
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,98
11,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,74
12,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,72
13,जनमत पार्टी,लाउड स्पिकर,63
14,नेपाल जनता पार्टी,कमलको फूल,47
15,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,46
16,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,41
17,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,40
18,नेपाल मजदुर किसान पार्टी,मादल,35
19,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),33
20,राष्ट्रिय एकता दल,"तुलसी, मठ",28
21,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,27
22,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,26
23,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,22
24,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,20
25,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,18
26,नेपाली जनता दल,सिट्ठी,17
27,प्रजातान्त्रिक पार्टी नेपाल,रथ,16
28,संयुक्त नागरिक पार्टी,गितार,15
29,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,14
30,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,12
31,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,11
32,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,10
33,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,10
34,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,9
35,"नागरिक शक्ति, नेपाल",त्रिशुल,8
36,नेपाली काँग्रेस (वी.पी.),करूवा,7
37,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,7
38,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,7
39,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),7
40,बहुजन शक्ति पार्टी,जग,6
41,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,6
42,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,6
43,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,6
44,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,6
45,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,5
46,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,5
47,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,5
48,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,4
49,जन अधिकार पार्टी,डुङ्‌गा,3
50,मितेरी पार्टी नेपाल,घोडा,3
51,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,3
52,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,3
53,नेपाल जनमुक्ति पार्टी,घर,2
54,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,2
55,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
56,त्रिमुल नेपाल,ओदान,1
57,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,1
