Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,9523
2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9351
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,6617
4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,4780
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,228
6,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,94
7,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,54
8,नेपाल जनता संरक्षण पार्टी,डोको,47
9,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,41
10,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,34
11,जनमत पार्टी,लाउड स्पिकर,32
12,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),28
13,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,28
14,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,20
15,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,20
16,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,17
17,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,17
18,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,15
19,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,15
20,नेपाल मजदुर किसान पार्टी,मादल,14
21,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,12
22,नेपाल जनता पार्टी,कमलको फूल,9
23,राष्ट्रिय एकता दल,"तुलसी, मठ",9
24,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,8
25,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,8
26,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,7
27,प्रजातान्त्रिक पार्टी नेपाल,रथ,7
28,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,7
29,नेपाली जनता दल,सिट्ठी,7
30,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,6
31,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,6
32,राष्ट्रिय जनमोर्चा,गिलास,5
33,बहुजन शक्ति पार्टी,जग,5
34,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,5
35,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,4
36,"नागरिक शक्ति, नेपाल",त्रिशुल,4
37,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,4
38,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),4
39,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,4
40,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,4
41,नेपाली काँग्रेस (वी.पी.),करूवा,3
42,संयुक्त नागरिक पार्टी,गितार,3
43,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,3
44,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,2
45,जन अधिकार पार्टी,डुङ्‌गा,2
46,नेपाल जनमुक्ति पार्टी,घर,2
47,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,1
48,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,1
49,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,1
50,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,1
51,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,1
52,त्रिमुल नेपाल,ओदान,1
53,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,1
54,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
55,मितेरी पार्टी नेपाल,घोडा,1
56,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,0
57,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,0
