Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,7915
2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,6231
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,5280
4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,2035
5,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,269
6,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,214
7,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,206
8,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,105
9,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,30
10,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,19
11,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,16
12,नेपाल जनता पार्टी,कमलको फूल,14
13,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,11
14,जनमत पार्टी,लाउड स्पिकर,10
15,नेपाल जनता संरक्षण पार्टी,डोको,9
16,नेपाल मजदुर किसान पार्टी,मादल,8
17,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,6
18,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,5
19,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,5
20,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,4
21,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,3
22,संयुक्त नागरिक पार्टी,गितार,3
23,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,3
24,नेपाली जनता दल,सिट्ठी,3
25,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,2
26,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,2
27,राष्ट्रिय एकता दल,"तुलसी, मठ",2
28,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,2
29,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,2
30,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,2
31,त्रिमुल नेपाल,ओदान,1
32,बहुजन शक्ति पार्टी,जग,1
33,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,1
34,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,1
35,नेपाली काँग्रेस (वी.पी.),करूवा,1
36,"नागरिक शक्ति, नेपाल",त्रिशुल,1
37,प्रजातान्त्रिक पार्टी नेपाल,रथ,1
38,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,1
39,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,1
40,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,1
41,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,1
42,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,1
43,राष्ट्रिय जनमोर्चा,गिलास,1
44,जन अधिकार पार्टी,डुङ्‌गा,1
45,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
46,मितेरी पार्टी नेपाल,घोडा,1
47,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,0
48,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),0
49,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,0
50,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,0
51,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,0
52,नेपाल जनमुक्ति पार्टी,घर,0
53,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,0
54,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),0
55,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,0
56,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,0
57,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,0
