Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,9443
2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,3329
3,नेपाली काँग्रेस,रुख,2870
4,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,1970
5,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,177
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,154
7,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,126
8,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,113
9,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,72
10,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,69
11,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,43
12,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,34
13,राष्ट्रिय जनमोर्चा,गिलास,32
14,नेपाल जनता संरक्षण पार्टी,डोको,31
15,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,27
16,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),27
17,जनमत पार्टी,लाउड स्पिकर,17
18,संयुक्त नागरिक पार्टी,गितार,17
19,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,14
20,नेपाल जनता पार्टी,कमलको फूल,10
21,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,9
22,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,9
23,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,8
24,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,7
25,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,6
26,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,6
27,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,5
28,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,5
29,नेपाली जनता दल,सिट्ठी,5
30,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,5
31,राष्ट्रिय एकता दल,"तुलसी, मठ",4
32,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),4
33,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,4
34,नेपाली काँग्रेस (वी.पी.),करूवा,4
35,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,4
36,नेपाल मजदुर किसान पार्टी,मादल,3
37,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,3
38,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,3
39,जन अधिकार पार्टी,डुङ्‌गा,3
40,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,3
41,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,3
42,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
43,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,2
44,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,2
45,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,2
46,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,2
47,नेपाल जनमुक्ति पार्टी,घर,1
48,मितेरी पार्टी नेपाल,घोडा,1
49,बहुजन शक्ति पार्टी,जग,1
50,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,1
51,"नागरिक शक्ति, नेपाल",त्रिशुल,1
52,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,1
53,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,1
54,त्रिमुल नेपाल,ओदान,1
55,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,0
56,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,0
57,प्रजातान्त्रिक पार्टी नेपाल,रथ,0
