Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,नेपाली काँग्रेस,रुख,23423
2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,20527
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,16852
4,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,2807
5,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,1149
6,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,952
7,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,422
8,राष्ट्रिय जनमोर्चा,गिलास,322
9,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,148
10,नेपाल जनता संरक्षण पार्टी,डोको,113
11,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,77
12,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,64
13,जनमत पार्टी,लाउड स्पिकर,58
14,नेपाल मजदुर किसान पार्टी,मादल,35
15,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,35
16,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,26
17,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,25
18,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,24
19,राष्ट्रिय एकता दल,"तुलसी, मठ",19
20,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,17
21,नेपाल जनता पार्टी,कमलको फूल,16
22,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,15
23,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,14
24,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,13
25,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,11
26,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,11
27,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,9
28,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,8
29,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,7
30,प्रजातान्त्रिक पार्टी नेपाल,रथ,7
31,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,7
32,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,6
33,संयुक्त नागरिक पार्टी,गितार,6
34,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,6
35,मितेरी पार्टी नेपाल,घोडा,6
36,जन अधिकार पार्टी,डुङ्‌गा,6
37,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),6
38,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,5
39,नेपाली जनता दल,सिट्ठी,5
40,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,5
41,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,5
42,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,4
43,"नागरिक शक्ति, नेपाल",त्रिशुल,4
44,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,4
45,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),4
46,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,3
47,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,3
48,नेपाल जनमुक्ति पार्टी,घर,3
49,नेपाली काँग्रेस (वी.पी.),करूवा,2
50,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,2
51,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,2
52,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,2
53,बहुजन शक्ति पार्टी,जग,2
54,त्रिमुल नेपाल,ओदान,1
55,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,1
56,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,1
57,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,0
