Rank,PoliticalPartyName,SymbolName,TotalVoteReceived
1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी,22859
2,नेपाली काँग्रेस,रुख,10185
3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य,7147
4,राष्ट्रिय जनमोर्चा,गिलास,3597
5,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा,1919
6,राष्ट्रिय प्रजातन्त्र पार्टी,हलो,943
7,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो,804
8,प्रगतिशील लोकतान्त्रिक पार्टी,खुलेको एकल आँखा,293
9,नेपाल जनता संरक्षण पार्टी,डोको,76
10,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,72
11,संयुक्त नागरिक पार्टी,गितार,59
12,नेशनल रिपब्लिक नेपाल,उडिरहेको माहुरी,43
13,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी,39
14,मंगोल नेशनल अर्गनाइजेशन,कुखुराको भाले,36
15,जनमत पार्टी,लाउड स्पिकर,32
16,सार्वभौम नागरिक पार्टी,गाढा निलो कलरको गोलाकार भित्र 24 किलाको चक्र,30
17,नेपाल मजदुर किसान पार्टी,मादल,26
18,नेपाल कम्युनिष्ट पार्टी (मार्क्सवादी-लेनिनवादी),हँसिया र तारा,25
19,"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",षटकोण,22
20,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी,19
21,नेपाल जनता पार्टी,कमलको फूल,18
22,"एकल चिन्ह चकिया (जाँतो) (राष्ट्रिय मुक्ति पार्टी नेपाल/जनता समाजवादी पार्टी/नागरिक उन्मुक्ति पार्टी, नेपाल)",चकिया (जाँतो),12
23,नेपाल कम्युनिष्ट पार्टी (संयुक्त),हँसिया,11
24,"जनता समाजवादी पार्टी, नेपाल",ढल्केको छाता,9
25,राष्ट्रिय एकता दल,"तुलसी, मठ",9
26,नेपाल सद्‍भावना पार्टी,पञ्जा छाप,9
27,राष्ट्रिय गौरव पार्टी,पाँचमुखे रुद्राक्षको दाना,8
28,नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),गैँती,6
29,नेपाल लोकतान्त्रिक पार्टी,दुई हात जोडेको नमस्कार,6
30,एकल चिन्ह मोबाइल (आम जनता पार्टी/जनादेश पार्टी नेपाल),मोबाइल,5
31,समावेशी समाजवादी पार्टी नेपाल,भित्ते घडी,5
32,राष्ट्रिय जनमुक्ति पार्टी,हात मिलाएको,5
33,समावेशी समाजवादी पार्टी,श्रीवत्स समृद्धिको प्रतीक,4
34,जन अधिकार पार्टी,डुङ्‌गा,4
35,राष्ट्रिय जनता पार्टी नेपाल,दायाँ हातले समातेको मसाल,4
36,नेपालका लागि नेपाली पार्टी,गोलाकार भित्र शङ्‌ख,4
37,राष्ट्र निर्माण दल नेपाल,गोलो घेराभित्र पानीको बोतल,4
38,नेपाली काँग्रेस (वी.पी.),करूवा,3
39,जय मातृभूमि पार्टी,काखमा बच्चा लिएको आमा,3
40,पिपुल फर्ष्ट पार्टी,दुई औला खुलेको तिन औला बन्द भएको हातको आकृति,3
41,बहुजन शक्ति पार्टी,जग,3
42,एकल चिन्ह  बस (नेपाल संघीय समाजवादी पार्टी/बहुजन एकता पार्टी नेपाल/नेपाल जनजागृति पार्टी),बस,2
43,"नागरिक शक्ति, नेपाल",त्रिशुल,2
44,नेपाली जनता दल,सिट्ठी,2
45,प्रजातान्त्रिक पार्टी नेपाल,रथ,2
46,एकल चिन्ह जगर भएको सिंह(सचेत नेपाली पार्टी/नागरिक सर्वोच्चता पार्टी नेपाल),जगर भएको सिंह,1
47,जनप्रिय लोकतान्त्रिक पार्टी,बज्र,1
48,नेपाल जनमुक्ति पार्टी,घर,1
49,नेपाली जनश्रमदान संस्कृति पार्टी,मान्छेले काधमा बोकिराखेको ढुङ्‌गा,1
50,स्वाभिमान पार्टी,बाली बोकेको महिलाको आकृति,0
51,गतिशील लोकतान्त्रिक पार्टी,ब्याट्री,0
52,त्रिमुल नेपाल,ओदान,0
53,"जनता लोकतान्त्रिक पार्टी, नेपाल",भैँसी,0
54,उन्‍नत लोकतन्त्र पार्टी,खुला किताब,0
55,"राष्ट्रिय उर्जाशील पार्टी, नेपाल",चापाकल (ट्‍युवेल),0
56,नेपाल मातृभूमि पार्टी,बलिरहेको दियो,0
57,मितेरी पार्टी नेपाल,घोडा,0
